Weather Conditions,2016,2017,2018,2019,2020,2021,TOTAL,AVERAGE
No Adverse Conditions,2997.0,2868.0,2566.0,2683.0,2504.0,2678.0,16296.0,2716.0
Rain,102.0,87.0,118.0,66.0,84.0,112.0,569.0,95.0
Unknown,12.0,22.0,9.0,16.0,75.0,71.0,205.0,34.0
Fog,4.0,7.0,7.0,6.0,4.0,10.0,38.0,6.0
Other,0.0,2.0,2.0,0.0,0.0,1.0,5.0,1.0
Snow,2.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0
Severe Crosswinds,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
Smog/Smoke,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0
Blowing Sand/Soil/Dirt,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TOTAL,3119.0,2989.0,2702.0,2773.0,2669.0,2875.0,17127.0,2855.0
AVERAGE,2599.0,2491.0,2310.0,2360.0,2201.0,2331.0,13592.0,2265.0
PERCENT,95.1,94.2,95.0,94.7,95.0,94.8,94.9,94.8
